Year,Lon,Lat,PID,PFT,age,cmass,ndist,relative
2101,-149.25,64.75,1,Pioneering broadleaf,217,0,1,0
2102,-149.25,64.75,1,Needleleaf evergreen,218,3.59,1,0.4838274932614555
2102,-149.25,64.75,1,Pioneering broadleaf,218,0,1,0
2103,-149.25,64.75,1,Needleleaf evergreen,219,3.26,1,0.45594405594405596
2103,-149.25,64.75,1,Pioneering broadleaf,219,0,1,0
2104,-149.25,64.75,1,Needleleaf evergreen,220,3.35,1,0.4582763337893297
2104,-149.25,64.75,1,Pioneering broadleaf,220,0,1,0
2105,-149.25,64.75,1,Needleleaf evergreen,221,3.44,1,0.4598930481283422
2105,-149.25,64.75,1,Pioneering broadleaf,221,0,1,0
2106,-149.25,64.75,1,Needleleaf evergreen,222,3.53,1,0.4620418848167539
2106,-149.25,64.75,1,Pioneering broadleaf,222,0,1,0
2107,-149.25,64.75,1,Needleleaf evergreen,223,3.58,1,0.4619354838709678
2107,-149.25,64.75,1,Pioneering broadleaf,223,0,1,0
2108,-149.25,64.75,1,Needleleaf evergreen,224,3.68,1,0.4640605296343001
2108,-149.25,64.75,1,Pioneering broadleaf,224,0,1,0
2109,-149.25,64.75,1,Needleleaf evergreen,225,3.78,1,0.46609124537607893
2109,-149.25,64.75,1,Pioneering broadleaf,225,0,1,0
2110,-149.25,64.75,1,Needleleaf evergreen,226,3.84,1,0.4660194174757281
2110,-149.25,64.75,1,Pioneering broadleaf,226,0,1,0
2111,-149.25,64.75,1,Needleleaf evergreen,227,3.68,1,0.45208845208845205
2111,-149.25,64.75,1,Pioneering broadleaf,227,0,1,0
2112,-149.25,64.75,1,Needleleaf evergreen,228,3.69,1,0.45
2112,-149.25,64.75,1,Pioneering broadleaf,228,0,1,0
2113,-149.25,64.75,1,Needleleaf evergreen,229,3.73,1,0.46049382716049386
2113,-149.25,64.75,1,Pioneering broadleaf,229,0,1,0
2114,-149.25,64.75,1,Needleleaf evergreen,230,3.78,1,0.4598540145985401
2114,-149.25,64.75,1,Pioneering broadleaf,230,0,1,0
2115,-149.25,64.75,1,Needleleaf evergreen,231,3.86,1,0.4611708482676225
2115,-149.25,64.75,1,Pioneering broadleaf,231,0,1,0
2116,-149.25,64.75,1,Needleleaf evergreen,232,3.92,1,0.4622641509433962
2116,-149.25,64.75,1,Pioneering broadleaf,232,0,1,0
2117,-149.25,64.75,1,Needleleaf evergreen,233,3.96,1,0.47425149700598807
2117,-149.25,64.75,1,Pioneering broadleaf,233,0,1,0
2118,-149.25,64.75,1,Needleleaf evergreen,234,3.72,1,0.45532435740514077
2118,-149.25,64.75,1,Pioneering broadleaf,234,0,1,0
2119,-149.25,64.75,1,Needleleaf evergreen,235,3.81,1,0.4579326923076923
2119,-149.25,64.75,1,Pioneering broadleaf,235,0,1,0
2120,-149.25,64.75,1,Needleleaf evergreen,236,3.87,1,0.4574468085106383
2120,-149.25,64.75,1,Pioneering broadleaf,236,0,1,0
2121,-149.25,64.75,1,Needleleaf evergreen,237,3.96,1,0.4599303135888502
2121,-149.25,64.75,1,Pioneering broadleaf,237,0,1,0
2122,-149.25,64.75,1,Needleleaf evergreen,238,3.99,1,0.4586206896551725
2122,-149.25,64.75,1,Pioneering broadleaf,238,0,1,0
2123,-149.25,64.75,1,Needleleaf evergreen,239,4.07,1,0.4609286523216308
2123,-149.25,64.75,1,Pioneering broadleaf,239,0,1,0
2124,-149.25,64.75,1,Needleleaf evergreen,240,4.12,1,0.4613661814109743
2124,-149.25,64.75,1,Pioneering broadleaf,240,0,1,0
2125,-149.25,64.75,1,Needleleaf evergreen,241,4.12,1,0.4613661814109743
2125,-149.25,64.75,1,Pioneering broadleaf,241,0,1,0
2126,-149.25,64.75,1,Needleleaf evergreen,242,4.24,1,0.46491228070175433
2126,-149.25,64.75,1,Pioneering broadleaf,242,0,1,0
2127,-149.25,64.75,1,Needleleaf evergreen,243,4.25,1,0.46296296296296297
2127,-149.25,64.75,1,Pioneering broadleaf,243,0,1,0
2128,-149.25,64.75,1,Needleleaf evergreen,244,4.27,1,0.46162162162162157
2128,-149.25,64.75,1,Pioneering broadleaf,244,0,1,0
2129,-149.25,64.75,1,Needleleaf evergreen,245,4.29,1,0.4593147751605996
2129,-149.25,64.75,1,Pioneering broadleaf,245,0,1,0
2130,-149.25,64.75,1,Needleleaf evergreen,246,4.36,1,0.4608879492600423
2130,-149.25,64.75,1,Pioneering broadleaf,246,0,1,0
2131,-149.25,64.75,1,Needleleaf evergreen,247,4.42,1,0.4737406216505895
2131,-149.25,64.75,1,Pioneering broadleaf,247,0,1,0
2132,-149.25,64.75,1,Needleleaf evergreen,248,4.47,1,0.4745222929936305
2132,-149.25,64.75,1,Pioneering broadleaf,248,0,1,0
2133,-149.25,64.75,1,Needleleaf evergreen,249,4.56,1,0.4764890282131661
2133,-149.25,64.75,1,Pioneering broadleaf,249,0,1,0
2134,-149.25,64.75,1,Needleleaf evergreen,250,4.67,1,0.4804526748971194
2134,-149.25,64.75,1,Pioneering broadleaf,250,0,1,0
2135,-149.25,64.75,1,Needleleaf evergreen,251,4.82,1,0.4844221105527639
2135,-149.25,64.75,1,Pioneering broadleaf,251,0,1,0
2136,-149.25,64.75,1,Needleleaf evergreen,252,4.81,1,0.4814814814814815
2136,-149.25,64.75,1,Pioneering broadleaf,252,0,1,0
2137,-149.25,64.75,1,Needleleaf evergreen,253,4.86,1,0.5105042016806723
2137,-149.25,64.75,1,Pioneering broadleaf,253,0,1,0
2138,-149.25,64.75,1,Needleleaf evergreen,254,4.93,1,0.5119418483904465
2138,-149.25,64.75,1,Pioneering broadleaf,254,0,1,0
2139,-149.25,64.75,1,Needleleaf evergreen,255,5.03,1,0.5148413510747186
2139,-149.25,64.75,1,Pioneering broadleaf,255,0,1,0
2140,-149.25,64.75,1,Needleleaf evergreen,256,5.07,1,0.514720812182741
2140,-149.25,64.75,1,Pioneering broadleaf,256,0,1,0
2141,-149.25,64.75,1,Needleleaf evergreen,257,5.18,1,0.5174825174825175
2141,-149.25,64.75,1,Pioneering broadleaf,257,0,1,0
2142,-149.25,64.75,1,Needleleaf evergreen,258,5.28,1,0.5201970443349754
2142,-149.25,64.75,1,Pioneering broadleaf,258,0,1,0
2143,-149.25,64.75,1,Needleleaf evergreen,259,5.37,1,0.522373540856031
2143,-149.25,64.75,1,Pioneering broadleaf,259,0,1,0
2144,-149.25,64.75,1,Needleleaf evergreen,260,5.36,1,0.5198836081474297
2144,-149.25,64.75,1,Pioneering broadleaf,260,0,1,0
2145,-149.25,64.75,1,Needleleaf evergreen,261,5.37,1,0.5337972166998012
2145,-149.25,64.75,1,Pioneering broadleaf,261,0,1,0
2146,-149.25,64.75,1,Needleleaf evergreen,262,5.45,1,0.5358898721730581
2146,-149.25,64.75,1,Pioneering broadleaf,262,0,1,0
2147,-149.25,64.75,1,Needleleaf evergreen,263,5.54,1,0.5383867832847425
2147,-149.25,64.75,1,Pioneering broadleaf,263,0,1,0
2148,-149.25,64.75,1,Needleleaf evergreen,264,5.65,1,0.541706615532119
2148,-149.25,64.75,1,Pioneering broadleaf,264,0,1,0
2149,-149.25,64.75,1,Needleleaf evergreen,265,5.72,1,0.5432098765432098
2149,-149.25,64.75,1,Pioneering broadleaf,265,0,1,0
2150,-149.25,64.75,1,Needleleaf evergreen,266,5.85,1,0.5467289719626168
2150,-149.25,64.75,1,Pioneering broadleaf,266,0,1,0
2151,-149.25,64.75,1,Needleleaf evergreen,267,5.99,1,0.5661625708884688
2151,-149.25,64.75,1,Pioneering broadleaf,267,0,1,0
2152,-149.25,64.75,1,Needleleaf evergreen,268,6.1,1,0.5690298507462687
2152,-149.25,64.75,1,Pioneering broadleaf,268,0,1,0
2153,-149.25,64.75,1,Needleleaf evergreen,269,6.2,1,0.5719557195571956
2153,-149.25,64.75,1,Pioneering broadleaf,269,0,1,0
2154,-149.25,64.75,1,Needleleaf evergreen,270,6.19,1,0.5699815837937385
2154,-149.25,64.75,1,Pioneering broadleaf,270,0,1,0
2155,-149.25,64.75,1,Needleleaf evergreen,271,6.27,1,0.5710382513661202
2155,-149.25,64.75,1,Pioneering broadleaf,271,0,1,0
2156,-149.25,64.75,1,Needleleaf evergreen,272,6.39,1,0.5741239892183289
2156,-149.25,64.75,1,Pioneering broadleaf,272,0,1,0
2157,-149.25,64.75,1,Needleleaf evergreen,273,6.46,1,0.5757575757575758
2157,-149.25,64.75,1,Pioneering broadleaf,273,0,1,0
2158,-149.25,64.75,1,Needleleaf evergreen,274,6.53,1,0.5778761061946902
2158,-149.25,64.75,1,Pioneering broadleaf,274,0,1,0
2159,-149.25,64.75,1,Needleleaf evergreen,275,6.66,1,0.6348903717826502
2159,-149.25,64.75,1,Pioneering broadleaf,275,0,1,0
2160,-149.25,64.75,1,Needleleaf evergreen,276,6.81,1,0.6388367729831144
2160,-149.25,64.75,1,Pioneering broadleaf,276,0,1,0
2161,-149.25,64.75,1,Needleleaf evergreen,277,6.94,1,0.6419981498612396
2161,-149.25,64.75,1,Pioneering broadleaf,277,0,1,0
2162,-149.25,64.75,1,Needleleaf evergreen,278,7.1,1,0.646041856232939
2162,-149.25,64.75,1,Pioneering broadleaf,278,0,1,0
2163,-149.25,64.75,1,Needleleaf evergreen,279,7.18,1,0.6672862453531598
2163,-149.25,64.75,1,Pioneering broadleaf,279,0,1,0
2164,-149.25,64.75,1,Needleleaf evergreen,280,7.31,1,0.6706422018348625
2164,-149.25,64.75,1,Pioneering broadleaf,280,0,1,0
2165,-149.25,64.75,1,Needleleaf evergreen,281,7.24,1,0.6678966789667897
2165,-149.25,64.75,1,Pioneering broadleaf,281,0,1,0
2166,-149.25,64.75,1,Needleleaf evergreen,282,7.29,1,0.6688073394495413
2166,-149.25,64.75,1,Pioneering broadleaf,282,0,1,0
2167,-149.25,64.75,1,Needleleaf evergreen,283,7.46,1,0.6732851985559567
2167,-149.25,64.75,1,Pioneering broadleaf,283,0,1,0
2168,-149.25,64.75,1,Needleleaf evergreen,284,7.62,1,0.6767317939609236
2168,-149.25,64.75,1,Pioneering broadleaf,284,0,1,0
2169,-149.25,64.75,1,Needleleaf evergreen,285,7.76,1,0.6801051709027169
2169,-149.25,64.75,1,Pioneering broadleaf,285,0,1,0
2170,-149.25,64.75,1,Needleleaf evergreen,286,7.9,1,0.6833910034602076
2170,-149.25,64.75,1,Pioneering broadleaf,286,0,1,0
2171,-149.25,64.75,1,Needleleaf evergreen,287,7.99,1,0.7058303886925795
2171,-149.25,64.75,1,Pioneering broadleaf,287,0,1,0
2172,-149.25,64.75,1,Needleleaf evergreen,288,8.04,1,0.7282608695652174
2172,-149.25,64.75,1,Pioneering broadleaf,288,0,1,0
2173,-149.25,64.75,1,Needleleaf evergreen,289,8.08,1,0.7285843101893598
2173,-149.25,64.75,1,Pioneering broadleaf,289,0,1,0
2174,-149.25,64.75,1,Needleleaf evergreen,290,8.07,1,0.7276825969341749
2174,-149.25,64.75,1,Pioneering broadleaf,290,0,1,0
2175,-149.25,64.75,1,Needleleaf evergreen,291,8.21,1,0.7532110091743119
