Lon,Lat,Year,TG,PID,PFT,age,cmass,ndist,ecoregion,relative
-126.25,64.75,2098,275.15087890625,0,BNE,106,0.82,3,TAIGA CORDILLERA,0.06628940986257073
-126.25,64.75,2098,275.15087890625,1,BNE,1148,7.08,0,TAIGA CORDILLERA,1
-126.25,64.75,2098,275.15087890625,2,BNE,116,0.8,1,TAIGA CORDILLERA,0.06493506493506494
-126.25,64.75,2098,275.15087890625,3,BNE,1148,5.17,0,TAIGA CORDILLERA,0.9980694980694981
-126.25,64.75,2098,275.15087890625,4,BNE,201,5.57,1,TAIGA CORDILLERA,0.4524776604386678
-126.25,64.75,2098,275.15087890625,5,BNE,211,2.67,1,TAIGA CORDILLERA,0.24097472924187724
-126.25,64.75,2098,275.15087890625,6,BNE,1148,6.69,0,TAIGA CORDILLERA,0.9985074626865672
-126.25,64.75,2098,275.15087890625,7,BNE,506,7.08,0,TAIGA CORDILLERA,0.9860724233983288
-126.25,64.75,2098,275.15087890625,8,BNE,308,7.71,0,TAIGA CORDILLERA,0.9649561952440551
-126.25,64.75,2098,275.15087890625,9,BNE,217,6.98,1,TAIGA CORDILLERA,0.8880407124681934
-126.25,64.75,2098,275.15087890625,10,BNE,706,10.24,0,TAIGA CORDILLERA,0.9932104752667313
-126.25,64.75,2098,275.15087890625,11,BNE,1062,6.33,0,TAIGA CORDILLERA,1
-126.25,64.75,2098,275.15087890625,12,BNE,190,3.49,1,TAIGA CORDILLERA,0.2647951441578149
-126.25,64.75,2098,275.15087890625,13,BNE,48,0.15,2,TAIGA CORDILLERA,0.022156573116691284
-126.25,64.75,2098,275.15087890625,14,BNE,127,1.66,1,TAIGA CORDILLERA,0.1272030651340996
-126.25,64.75,2098,275.15087890625,15,BNE,116,0.97,1,TAIGA CORDILLERA,0.09194312796208531
-126.25,64.75,2098,275.15087890625,16,BNE,129,1.12,1,TAIGA CORDILLERA,0.10457516339869283
-126.25,64.75,2098,275.15087890625,17,BNE,18,0.29,2,TAIGA CORDILLERA,0.11507936507936507
-126.25,64.75,2098,275.15087890625,18,BNE,125,1.58,1,TAIGA CORDILLERA,0.12125863392171911
-126.25,64.75,2098,275.15087890625,19,BNE,220,9.73,1,TAIGA CORDILLERA,1
-126.25,64.75,2098,275.15087890625,20,BNE,296,6.64,1,TAIGA CORDILLERA,1
-126.25,64.75,2098,275.15087890625,21,BNE,11,0.15,2,TAIGA CORDILLERA,0.11904761904761904
-126.25,64.75,2098,275.15087890625,22,BNE,295,7.31,1,TAIGA CORDILLERA,0.9720744680851063
-126.25,64.75,2098,275.15087890625,23,BNE,27,0.44,2,TAIGA CORDILLERA,0.12290502793296089
